                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.3265,                 1.4649,                 1.5995,                0.47504,                0.36719,                0.35449,                0.13308,                 2.1635,                 2.1929,                 2.4732,              0.0008648,              0.0008648,              0.0008648
                     88,                 1.3038,                 1.4986,                 1.5925,                0.49442,                0.38965,                0.34363,                0.13889,                 2.0876,                 2.1157,                 2.4334,              0.0008516,              0.0008516,              0.0008516
                     89,                 1.3427,                 1.5277,                 1.5911,                 0.4028,                0.35156,                0.28242,                0.12925,                 2.0187,                 2.1788,                 2.3415,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.2492,                 1.4077,                 1.5497,                0.48379,                0.32812,                0.30965,                0.14676,                 1.9871,                 2.2001,                 2.2911,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.2024,                 1.3242,                 1.5032,                0.39792,                0.38726,                0.34896,                0.15158,                 2.0278,                 2.1103,                 2.4502,               0.000812,               0.000812,               0.000812
                     92,                 1.2888,                  1.405,                 1.5623,                0.43799,                0.42621,                0.34467,                0.15793,                 2.0796,                 2.1467,                 2.4778,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.2201,                 1.3629,                 1.5102,                0.36062,                0.46875,                0.33987,                0.14904,                  2.071,                 2.1499,                 2.3833,              0.0007856,              0.0007856,              0.0007856
                     94,                 1.2664,                 1.3519,                 1.5629,                 0.4039,                0.47656,                0.35085,                0.16057,                 2.0539,                  2.159,                 2.3943,              0.0007724,              0.0007724,              0.0007724
                     95,                 1.2557,                 1.4047,                 1.5412,                0.48253,                0.36719,                0.35686,                 0.1601,                 2.0246,                 2.2185,                 2.4007,              0.0007592,              0.0007592,              0.0007592
                     96,                 1.1999,                 1.3599,                 1.5269,                0.49065,                0.39844,                0.34063,                0.14297,                 2.0729,                 2.2417,                 2.5134,               0.000746,               0.000746,               0.000746
                     97,                  1.265,                 1.4008,                 1.5355,                0.59309,                0.36441,                 0.3141,                0.13793,                 2.0854,                 2.2118,                 2.5205,              0.0007328,              0.0007328,              0.0007328
